name,calories,proteins,fats,carbs
"Баранина, ребра, жаренные на открытом огне",361.0,22.13,29.59,0.0
"Баранина, ребра, запеченные",359.0,21.12,29.82,0.0
"Баранина, ребра, только мясо",169.0,19.98,9.23,0.0
"Баранина, ребра, только мясо, жаренные на открытом огне",235.0,27.74,12.95,0.0
"Баранина, ребра, только мясо, запеченные",232.0,26.16,13.31,0.0
"Баранина, рулька",201.0,18.91,13.38,0.0
"Баранина, рулька тушеная",243.0,28.37,13.46,0.0
"Баранина, рулька, только мясо",120.0,21.08,3.29,0.0
"Баранина, рулька, только мясо, тушеная",187.0,31.01,6.02,0.0
"Баранина, спинная часть",254.0,16.5,20.9,0.0
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками",134.0,20.21,5.28,0.0
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками, жаренная на открытом огне",186.0,28.08,7.33,0.0
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками, тушеная",223.0,33.69,8.8,0.0
"Баранина, тазобедренная часть",198.0,17.0,14.4,0.0
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, жаренная на открытом огне",315.0,23.43,23.88,0.0
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",296.0,24.41,21.28,0.0
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая",273.0,17.18,22.1,0.0
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, сырая",298.0,15.4,26.19,0.22
"Баранина, филейная часть, Новая зеландия, замороженная, только мясо, жаренная на открытом огне",199.0,29.31,8.24,0.0
"Баранина, филейная часть, Новая зеландия, замороженная, только мясо, сырая",142.0,19.98,6.88,0.0
"Баранина, шейная часть",208.0,15.4,16.3,0.0
Белка,120.0,21.23,3.21,0.0
"Белка, запеченная",173.0,30.77,4.69,0.0
"Бизон, мякоть плечевой части, только мясо",119.0,21.12,3.15,0.0
"Бизон, мякоть плечевой части, только мясо, тушеная",193.0,33.78,5.43,0.0
"Бизон, стейк из верхней части бедра, только мясо",122.0,23.32,2.43,0.0
"Бизон, стейк из верхней части бедра, только мясо, жаренный на открытом огне",174.0,30.18,4.96,0.0
"Бизон, стейк из верхней части оковалка, только мясо, жаренный на открытом огне",171.0,28.05,5.65,0.0
"Бизон, стейк из рибая (реберная сердцевина, глазок), только мясо",116.0,22.1,2.4,0.0
"Бизон, стейк из рибая (реберная сердцевина, глазок), только мясо, жареный на открытом огне",177.0,29.45,5.67,0.0
"Бизон, только мясо",109.0,21.62,1.84,0.0
"Бизон, только мясо, запеченное",143.0,28.44,2.42,0.0
Бобер,146.0,24.05,4.8,0.0
"Бобер, запеченный",212.0,34.85,6.96,0.0
"Буйвол, стейк из верхней части бедра (Шошони-Баннок)",97.0,21.44,1.3,0.0
"Буйвол, стейк из верхней части бедра приготовленный (Шошони-Баннок)",146.0,32.51,1.8,0.0
"Буйволятина, 1 категории",195.0,19.0,13.2,0.0
"Буйволятина, 2 категории",135.0,20.8,5.8,0.0
"Буффало, гибрид бизона и коровы, мясной набор",143.0,23.3,4.8,0.0
"Буффало, гибрид бизона и коровы, мясной набор, запеченный",188.0,30.66,6.32,0.0
Верблюжатина 1 категории,160.0,18.9,9.4,0.0
Водяной буйвол,99.0,20.39,1.37,0.0
"Водяной буйвол, запеченный",131.0,26.83,1.8,0.0
Глаза оленя карибу (Аляска),326.0,10.8,31.4,0.0
"Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная",217.0,26.73,11.4,0.0
"Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, сырая",185.0,18.99,11.5,0.0
"Гуляш бараний, консервы",213.0,14.2,15.6,3.9
"Енот, запеченный",255.0,29.2,14.5,0.0
"Жир бараний приготовленный, Австралия",639.0,9.42,66.4,0.0
"Жир бараний сырой, Австралия",648.0,6.27,68.87,0.0
